Id;Index;Title;Description;ParentId;DimensionId
GM0603;245;Rijswijk;;WBGM;WijkenEnBuurten
GM1669;246;Roerdalen;;WBGM;WijkenEnBuurten
GM0957;247;Roermond;;WBGM;WijkenEnBuurten
GM0736;248;De Ronde Venen;;WBGM;WijkenEnBuurten
GM1674;249;Roosendaal;;WBGM;WijkenEnBuurten
GM0599;250;Rotterdam;;WBGM;WijkenEnBuurten
GM0277;251;Rozendaal;;WBGM;WijkenEnBuurten
GM0840;252;Rucphen;;WBGM;WijkenEnBuurten
GM0441;253;Schagen;;WBGM;WijkenEnBuurten
GM0279;254;Scherpenzeel;;WBGM;WijkenEnBuurten
GM0606;255;Schiedam;;WBGM;WijkenEnBuurten
GM0088;256;Schiermonnikoog;;WBGM;WijkenEnBuurten
GM1676;257;Schouwen-Duiveland;;WBGM;WijkenEnBuurten
GM0965;258;Simpelveld;;WBGM;WijkenEnBuurten
GM1702;259;Sint Anthonis;;WBGM;WijkenEnBuurten
GM0845;260;Sint-Michielsgestel;;WBGM;WijkenEnBuurten
GM1883;261;Sittard-Geleen;;WBGM;WijkenEnBuurten
GM0610;262;Sliedrecht;;WBGM;WijkenEnBuurten
GM1714;263;Sluis;;WBGM;WijkenEnBuurten
GM0090;264;Smallingerland;;WBGM;WijkenEnBuurten
GM0342;265;Soest;;WBGM;WijkenEnBuurten
GM0847;266;Someren;;WBGM;WijkenEnBuurten
GM0848;267;Son en Breugel;;WBGM;WijkenEnBuurten
GM0037;268;Stadskanaal;;WBGM;WijkenEnBuurten
GM0180;269;Staphorst;;WBGM;WijkenEnBuurten
GM0532;270;Stede Broec;;WBGM;WijkenEnBuurten
GM0851;271;Steenbergen;;WBGM;WijkenEnBuurten
GM1708;272;Steenwijkerland;;WBGM;WijkenEnBuurten
GM0971;273;Stein;;WBGM;WijkenEnBuurten
GM1904;274;Stichtse Vecht;;WBGM;WijkenEnBuurten
GM1900;275;Súdwest-Fryslân;;WBGM;WijkenEnBuurten
GM0715;276;Terneuzen;;WBGM;WijkenEnBuurten
GM0093;277;Terschelling;;WBGM;WijkenEnBuurten
GM0448;278;Texel;;WBGM;WijkenEnBuurten
GM1525;279;Teylingen;;WBGM;WijkenEnBuurten
GM0716;280;Tholen;;WBGM;WijkenEnBuurten
GM0281;281;Tiel;;WBGM;WijkenEnBuurten
GM0855;282;Tilburg;;WBGM;WijkenEnBuurten
GM0183;283;Tubbergen;;WBGM;WijkenEnBuurten
GM1700;284;Twenterand;;WBGM;WijkenEnBuurten
GM1730;285;Tynaarlo;;WBGM;WijkenEnBuurten
GM0737;286;Tytsjerksteradiel;;WBGM;WijkenEnBuurten
GM0856;287;Uden;;WBGM;WijkenEnBuurten
GM0450;288;Uitgeest;;WBGM;WijkenEnBuurten
GM0451;289;Uithoorn;;WBGM;WijkenEnBuurten
GM0184;290;Urk;;WBGM;WijkenEnBuurten
GM0344;291;Utrecht;;WBGM;WijkenEnBuurten
GM1581;292;Utrechtse Heuvelrug;;WBGM;WijkenEnBuurten
GM0981;293;Vaals;;WBGM;WijkenEnBuurten
GM0994;294;Valkenburg aan de Geul;;WBGM;WijkenEnBuurten
GM0858;295;Valkenswaard;;WBGM;WijkenEnBuurten
GM0047;296;Veendam;;WBGM;WijkenEnBuurten
GM0345;297;Veenendaal;;WBGM;WijkenEnBuurten
GM0717;298;Veere;;WBGM;WijkenEnBuurten
GM0861;299;Veldhoven;;WBGM;WijkenEnBuurten
GM0453;300;Velsen;;WBGM;WijkenEnBuurten
GM0983;301;Venlo;;WBGM;WijkenEnBuurten
GM0984;302;Venray;;WBGM;WijkenEnBuurten
GM1961;303;Vijfheerenlanden;;WBGM;WijkenEnBuurten
GM0622;304;Vlaardingen;;WBGM;WijkenEnBuurten
GM0096;305;Vlieland;;WBGM;WijkenEnBuurten
GM0718;306;Vlissingen;;WBGM;WijkenEnBuurten
GM0986;307;Voerendaal;;WBGM;WijkenEnBuurten
GM0626;308;Voorschoten;;WBGM;WijkenEnBuurten
GM0285;309;Voorst;;WBGM;WijkenEnBuurten
GM0865;310;Vught;;WBGM;WijkenEnBuurten
GM1949;311;Waadhoeke;;WBGM;WijkenEnBuurten
GM0866;312;Waalre;;WBGM;WijkenEnBuurten
GM0867;313;Waalwijk;;WBGM;WijkenEnBuurten
GM0627;314;Waddinxveen;;WBGM;WijkenEnBuurten
GM0289;315;Wageningen;;WBGM;WijkenEnBuurten
GM0629;316;Wassenaar;;WBGM;WijkenEnBuurten
GM0852;317;Waterland;;WBGM;WijkenEnBuurten
GM0988;318;Weert;;WBGM;WijkenEnBuurten
GM0457;319;Weesp;;WBGM;WijkenEnBuurten
GM1960;320;West Betuwe;;WBGM;WijkenEnBuurten
GM0668;321;West Maas en Waal;;WBGM;WijkenEnBuurten
GM1969;322;Westerkwartier;;WBGM;WijkenEnBuurten
GM1701;323;Westerveld;;WBGM;WijkenEnBuurten
GM0293;324;Westervoort;;WBGM;WijkenEnBuurten
GM1950;325;Westerwolde;;WBGM;WijkenEnBuurten
GM1783;326;Westland;;WBGM;WijkenEnBuurten
GM0098;327;Weststellingwerf;;WBGM;WijkenEnBuurten
GM0614;328;Westvoorne;;WBGM;WijkenEnBuurten
GM0189;329;Wierden;;WBGM;WijkenEnBuurten
GM0296;330;Wijchen;;WBGM;WijkenEnBuurten
GM1696;331;Wijdemeren;;WBGM;WijkenEnBuurten
GM0352;332;Wijk bij Duurstede;;WBGM;WijkenEnBuurten
GM0294;333;Winterswijk;;WBGM;WijkenEnBuurten
GM0873;334;Woensdrecht;;WBGM;WijkenEnBuurten
GM0632;335;Woerden;;WBGM;WijkenEnBuurten
GM1690;336;De Wolden;;WBGM;WijkenEnBuurten
GM0880;337;Wormerland;;WBGM;WijkenEnBuurten
GM0351;338;Woudenberg;;WBGM;WijkenEnBuurten
GM0479;339;Zaanstad;;WBGM;WijkenEnBuurten
GM0297;340;Zaltbommel;;WBGM;WijkenEnBuurten
GM0473;341;Zandvoort;;WBGM;WijkenEnBuurten
GM0050;342;Zeewolde;;WBGM;WijkenEnBuurten
GM0355;343;Zeist;;WBGM;WijkenEnBuurten
GM0299;344;Zevenaar;;WBGM;WijkenEnBuurten
GM0637;345;Zoetermeer;;WBGM;WijkenEnBuurten
GM0638;346;Zoeterwoude;;WBGM;WijkenEnBuurten
GM1892;347;Zuidplas;;WBGM;WijkenEnBuurten
GM0879;348;Zundert;;WBGM;WijkenEnBuurten
GM0301;349;Zutphen;;WBGM;WijkenEnBuurten
GM1896;350;Zwartewaterland;;WBGM;WijkenEnBuurten
GM0642;351;Zwijndrecht;;WBGM;WijkenEnBuurten
GM0193;352;Zwolle;;WBGM;WijkenEnBuurten
GM;353;Alle gemeenten;;;WijkenEnBuurten
NL;354;Nederland;;;WijkenEnBuurten
OVERIG;355;Overig;;;WijkenEnBuurten
