index,Periode,SES-Score,Spreiding,Plaats,Buurt,Wijk,Gemeente,Region_Code,Region_Description,ID,RegioS,Perioden,GemiddeldeVerkoopprijs_1
7698,2016JJ00,"0,117","0,839",Amstelveen,,,Amstelveen,GM0362,Gemeente 'Amstelveen' (GM0362),1239,GM0362,2016JJ00,363088.0
7700,2017JJ00,"0,116","0,848",Amstelveen,,,Amstelveen,GM0362,Gemeente 'Amstelveen' (GM0362),1240,GM0362,2017JJ00,420478.0
7702,2018JJ00,"0,122","0,849",Amstelveen,,,Amstelveen,GM0362,Gemeente 'Amstelveen' (GM0362),1241,GM0362,2018JJ00,474669.0
7704,2019JJ00,"0,128","0,846",Amstelveen,,,Amstelveen,GM0362,Gemeente 'Amstelveen' (GM0362),1242,GM0362,2019JJ00,525247.0
8362,2014JJ00,"-0,164","1,013",Amsterdam,,,Amsterdam,GM0363,Gemeente 'Amsterdam' (GM0363),1266,GM0363,2014JJ00,272438.0
8364,2015JJ00,"-0,159","1,019",Amsterdam,,,Amsterdam,GM0363,Gemeente 'Amsterdam' (GM0363),1267,GM0363,2015JJ00,303925.0
8366,2016JJ00,"-0,152","1,023",Amsterdam,,,Amsterdam,GM0363,Gemeente 'Amsterdam' (GM0363),1268,GM0363,2016JJ00,358976.0
8368,2017JJ00,"-0,139","1,022",Amsterdam,,,Amsterdam,GM0363,Gemeente 'Amsterdam' (GM0363),1269,GM0363,2017JJ00,407670.0
8370,2018JJ00,"-0,122","1,02",Amsterdam,,,Amsterdam,GM0363,Gemeente 'Amsterdam' (GM0363),1270,GM0363,2018JJ00,460751.0
8372,2019JJ00,"-0,1","1,01",Amsterdam,,,Amsterdam,GM0363,Gemeente 'Amsterdam' (GM0363),1271,GM0363,2019JJ00,484995.0
14128,2014JJ00,"0,046","0,8",Apeldoorn,,,Apeldoorn,GM0200,Gemeente 'Apeldoorn' (GM0200),1411,GM0200,2014JJ00,214203.0
14130,2015JJ00,"0,036","0,813",Apeldoorn,,,Apeldoorn,GM0200,Gemeente 'Apeldoorn' (GM0200),1412,GM0200,2015JJ00,219569.0
14132,2016JJ00,"0,031","0,823",Apeldoorn,,,Apeldoorn,GM0200,Gemeente 'Apeldoorn' (GM0200),1413,GM0200,2016JJ00,227978.0
14134,2017JJ00,"0,02","0,835",Apeldoorn,,,Apeldoorn,GM0200,Gemeente 'Apeldoorn' (GM0200),1414,GM0200,2017JJ00,252463.0
14136,2018JJ00,"0,017","0,841",Apeldoorn,,,Apeldoorn,GM0200,Gemeente 'Apeldoorn' (GM0200),1415,GM0200,2018JJ00,275434.0
14138,2019JJ00,"0,025","0,835",Apeldoorn,,,Apeldoorn,GM0200,Gemeente 'Apeldoorn' (GM0200),1416,GM0200,2019JJ00,287155.0
15096,2014JJ00,"-0,179","0,978",Arnhem,,,Arnhem,GM0202,Gemeente 'Arnhem' (GM0202),1527,GM0202,2014JJ00,190551.0
15098,2015JJ00,"-0,189","0,989",Arnhem,,,Arnhem,GM0202,Gemeente 'Arnhem' (GM0202),1528,GM0202,2015JJ00,199528.0
15100,2016JJ00,"-0,194","0,998",Arnhem,,,Arnhem,GM0202,Gemeente 'Arnhem' (GM0202),1529,GM0202,2016JJ00,205816.0
15102,2017JJ00,"-0,21","1,013",Arnhem,,,Arnhem,GM0202,Gemeente 'Arnhem' (GM0202),1530,GM0202,2017JJ00,221424.0
15104,2018JJ00,"-0,21","1,015",Arnhem,,,Arnhem,GM0202,Gemeente 'Arnhem' (GM0202),1531,GM0202,2018JJ00,249290.0
15106,2019JJ00,"-0,199","1,01",Arnhem,,,Arnhem,GM0202,Gemeente 'Arnhem' (GM0202),1532,GM0202,2019JJ00,260635.0
16278,2014JJ00,"0,002","0,813",Assen,,,Assen,GM0106,Gemeente 'Assen' (GM0106),1556,GM0106,2014JJ00,175497.0
16280,2015JJ00,"-0,007","0,825",Assen,,,Assen,GM0106,Gemeente 'Assen' (GM0106),1557,GM0106,2015JJ00,183838.0
16282,2016JJ00,"-0,013","0,831",Assen,,,Assen,GM0106,Gemeente 'Assen' (GM0106),1558,GM0106,2016JJ00,190911.0
16284,2017JJ00,"-0,025","0,841",Assen,,,Assen,GM0106,Gemeente 'Assen' (GM0106),1559,GM0106,2017JJ00,199135.0
16286,2018JJ00,"-0,021","0,837",Assen,,,Assen,GM0106,Gemeente 'Assen' (GM0106),1560,GM0106,2018JJ00,213612.0
16288,2019JJ00,"-0,021","0,838",Assen,,,Assen,GM0106,Gemeente 'Assen' (GM0106),1561,GM0106,2019JJ00,228658.0
